artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,11 July 2009,Winnipeg,Canada,MTS Centre,Gloriana Kellie Pickler,512487,Fearless Tour,11369,11369,TS Kaggle,TRUE
Taylor Swift,27 August 2009,New York City,United States,Madison Square Garden,Gloriana Kellie Pickler,976062,Fearless Tour,13597,13597,TS Kaggle,TRUE
Taylor Swift,28 August 2009,Montville,United States,Mohegan Sun Arena,Gloriana Kellie Pickler,296306,Fearless Tour,7507,7507,TS Kaggle,TRUE
Taylor Swift,12 September 2009,Nashville,United States,Bridgestone Arena,Gloriana Kellie Pickler,642387,Fearless Tour,14269,14269,TS Kaggle,TRUE
Taylor Swift,25 September 2009,Dallas,United States,American Airlines Center,Gloriana Kellie Pickler,628062,Fearless Tour,13794,13794,TS Kaggle,TRUE
Taylor Swift,26 September 2009,North Little Rock,United States,Verizon Arena,Gloriana Kellie Pickler,654089,Fearless Tour,13978,13978,TS Kaggle,TRUE
Taylor Swift,03 October 2009,Cleveland,United States,Quicken Loans Arena,Gloriana Kellie Pickler,743492,Fearless Tour,15524,15524,TS Kaggle,TRUE
Taylor Swift,08 October 2009,Indianapolis,United States,Conseco Fieldhouse,Gloriana Kellie Pickler,634876,Fearless Tour,13373,13373,TS Kaggle,TRUE
Taylor Swift,09 October 2009,Rosemont,United States,Allstate Arena,Gloriana Kellie Pickler,1150896,Fearless Tour,26265,26265,TS Kaggle,TRUE
Taylor Swift,10 October 2009,Rosemont,United States,Allstate Arena,Gloriana Kellie Pickler,1150896,Fearless Tour,26265,26265,TS Kaggle,TRUE
Taylor Swift,11 October 2009,Minneapolis,United States,Target Center,Gloriana Kellie Pickler,623975,Fearless Tour,13563,13563,TS Kaggle,TRUE
Taylor Swift,04 February 2010,Brisbane,Australia,Brisbane Entertainment Centre,Gloriana Kellie Pickler,956505,Fearless Tour,11334,11334,TS Kaggle,TRUE
Taylor Swift,06 February 2010,Sydney,Australia,Acer Arena,Gloriana Kellie Pickler,2030640,Fearless Tour,27030,27030,TS Kaggle,TRUE
Taylor Swift,07 February 2010,Sydney,Australia,Acer Arena,Gloriana Kellie Pickler,2030640,Fearless Tour,27030,27030,TS Kaggle,TRUE
Taylor Swift,08 February 2010,Newcastle,Australia,Newcastle Entertainment Centre,Gloriana Kellie Pickler,555396,Fearless Tour,7180,7180,TS Kaggle,TRUE
Taylor Swift,10 February 2010,Melbourne,Australia,Rod Laver Arena,Gloriana Kellie Pickler,1627510,Fearless Tour,23493,23493,TS Kaggle,TRUE
Taylor Swift,11 February 2010,Melbourne,Australia,Rod Laver Arena,Gloriana Kellie Pickler,1627510,Fearless Tour,23493,23493,TS Kaggle,TRUE
