city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
New York City,United States,Madison Square Garden,Gloriana Kellie Pickler,976062.0,Fearless Tour,13597,13597,27/08/2009
Montville,United States,Mohegan Sun Arena,Gloriana Kellie Pickler,296306.0,Fearless Tour,7507,7507,28/08/2009
Nashville,United States,Bridgestone Arena,Gloriana Kellie Pickler,642387.0,Fearless Tour,14269,14269,12/09/2009
Dallas,United States,American Airlines Center,Gloriana Kellie Pickler,628062.0,Fearless Tour,13794,13794,25/09/2009
North Little Rock,United States,Verizon Arena,Gloriana Kellie Pickler,654089.0,Fearless Tour,13978,13978,26/09/2009
Cleveland,United States,Quicken Loans Arena,Gloriana Kellie Pickler,743492.0,Fearless Tour,15524,15524,03/10/2009
Indianapolis,United States,Conseco Fieldhouse,Gloriana Kellie Pickler,634876.0,Fearless Tour,13373,13373,08/10/2009
Rosemont,United States,Allstate Arena,Gloriana Kellie Pickler,1150896.0,Fearless Tour,26265,26265,09/10/2009
Rosemont,United States,Allstate Arena,Gloriana Kellie Pickler,1150896.0,Fearless Tour,26265,26265,10/10/2009
Minneapolis,United States,Target Center,Gloriana Kellie Pickler,623975.0,Fearless Tour,13563,13563,11/10/2009
Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,956505.0,Fearless Tour,11334,11334,04/02/2010
Sydney,Australia,Acer Arena,Gloriana,2030640.0,Fearless Tour,27030,27030,06/02/2010
Sydney,Australia,Acer Arena,Gloriana,2030640.0,Fearless Tour,27030,27030,07/02/2010
Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,555396.0,Fearless Tour,7180,7180,08/02/2010
Melbourne,Australia,Rod Laver Arena,Gloriana,1627510.0,Fearless Tour,23493,23493,10/02/2010
Melbourne,Australia,Rod Laver Arena,Gloriana,1627510.0,Fearless Tour,23493,23493,11/02/2010
Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,585352.0,Fearless Tour,9066,9066,12/02/2010
Tampa,United States,St. Pete Times Forum,Gloriana Kellie Pickler,793049.0,Fearless Tour,13861,13861,04/03/2010
Orlando,United States,Amway Arena,Gloriana Kellie Pickler,598581.0,Fearless Tour,11101,11101,05/03/2010
Sunrise,United States,BankAtlantic Center,Gloriana Kellie Pickler,777442.0,Fearless Tour,13453,13453,07/03/2010
Austin,United States,Frank Erwin Center,Gloriana Kellie Pickler,642705.0,Fearless Tour,11928,11928,10/03/2010
Dallas,United States,American Airlines Center,Gloriana Kellie Pickler,742954.0,Fearless Tour,14022,14022,11/03/2010
Corpus Christi,United States,American Bank Center Arena,Gloriana Kellie Pickler,501169.0,Fearless Tour,8423,8423,12/03/2010
Philadelphia,United States,Wells Fargo Center,Gloriana Kellie Pickler,2002321.0,Fearless Tour,30360,30360,18/03/2010
Philadelphia,United States,Wells Fargo Center,Gloriana Kellie Pickler,2002321.0,Fearless Tour,30360,30360,19/03/2010
Charlottesville,United States,John Paul Jones Arena,Gloriana Kellie Pickler,664305.0,Fearless Tour,11858,11858,20/03/2010
Auburn Hills,United States,The Palace of Auburn Hills,Gloriana Kellie Pickler,1711591.0,Fearless Tour,29125,29125,26/03/2010
Auburn Hills,United States,The Palace of Auburn Hills,Gloriana Kellie Pickler,1711591.0,Fearless Tour,29125,29125,27/03/2010
