Name,Genres,Popularity,Followers
Charlie Parr,"alternative country, duluth indie, new americana, piedmont blues, progressive bluegrass, stomp and holler",37,61056
Dave Wang,"c-pop, classic mandopop",48,163365
Roosevelt,"indie emo, nu disco, shiver pop",55,260166
Flying Fingers,piano cover,62,31157
Jason Aldean,"contemporary country, country, country road, modern country rock",71,6424693
Specktakel,"discofox, partyschlager",41,3721
Wormrot,"deathgrind, grindcore, singaporean metal",35,55800
Heavenly Lullaby,lullaby,59,3281
DVBBS,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",58,1059128
CAKE,"alternative rock, pop rock, post-grunge, sacramento indie",59,1121001
Soilwork,"alternative metal, groove metal, melodic death metal, melodic groove metal, melodic metalcore, nu metal, swedish death metal, swedish melodeath, swedish metal",50,307568
Regina Spektor,"indie pop, lilith, piano rock",59,1376586
Ismael Rivera,"bomba y plena, puerto rican folk, salsa",50,548499
Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",65,124324
Syn Cole,"deep tropical house, edm, pop dance, progressive electro house, tropical house",54,236966
deadmau5,"canadian electronic, complextro, edm, electro house, pop dance, progressive house",65,2825207
Erykah Badu,"afrofuturism, alternative r&b, neo soul, r&b",65,2802556
Marilyn Manson,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",67,4184708
Connie Francis,"adult standards, brill building pop, easy listening, rock-and-roll, rockabilly",52,422075
Dr. John,"acoustic blues, blues, jazz blues, louisiana blues, modern blues, new orleans blues, piano blues, roots rock, soul, traditional blues",49,237610
Ivan Cornejo,sad sierreno,73,1971458
Jay Park,"k-pop, k-rap, korean r&b",64,2050793
Ghost Town,"pop emo, trancecore",42,195605
Grupo Yndio,"grupera, mexican rock-and-roll, norteno, ranchera",56,372841
Korsakoff,"dark hardcore, happy hardcore, hardcore techno",43,109389
Smash Into Pieces,swedish alternative rock,57,228965
Lord Huron,"indie folk, stomp and holler",73,1399276
Sachet-Parampara,"desi pop, filmi, modern bollywood",66,964408
Jóhann Jóhannsson,"compositional ambient, experimental classical, icelandic classical, icelandic experimental, nordic soundtrack, soundtrack",63,260632
Yung Beef,"drill espanol, emo trap en espanol, neoperreo, spanish hip hop, urbano espanol",62,467575
DJ Snake,"dance pop, edm, electronic trap, pop, pop dance",76,8801855
dj Shawny,"jersey club, sped up",52,35563
Gazo,"drill francais, french hip hop, pop urbaine, r&b francais, rap francais",77,2143308
Sandy Lam,"c-pop, classic mandopop, mandopop",49,378859
The Maine,"neon pop punk, pop emo, pop punk, tempe indie",56,565867
Ramin Djawadi,"german soundtrack, orchestral soundtrack, scorecore, soundtrack",65,599888
Los Gemelos De Sinaloa,"corrido, corridos tumbados, sad sierreno, sierreno",64,693111
Daryl Hall & John Oates,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",72,2280044
Lauren Spencer Smith,"alt z, gen z singer-songwriter",68,1245775
Sheryl Crow,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter",64,1097066
Maiara & Maraisa,"sertanejo, sertanejo pop, sertanejo universitario",73,13521649
Vitor Fernandes,"arrocha, forro",62,1878920
Joel Fletcher,"deep minimal techno, melbourne bounce, melbourne bounce international",46,55838
Exodus,"death metal, hard rock, metal, old school thrash, speed metal, thrash metal",48,705444
Coti,"spanish pop, spanish pop rock",58,299829
Sam Hunt,"contemporary country, country, country pop, modern country rock",67,2317520
Alphaxone,"dronescape, iranian experimental",25,5158
Wild Rivers,folk-pop,63,201643
Sickmode,gym hardstyle,57,86752
Andy Hui,"c-pop, cantopop, classic cantopop",46,93368
Blippi,"children's music, preschool children's music",58,93484
Styles & Breeze,"bouncy house, happy hardcore",40,17507
Rodriguinho,"pagode, pagode novo",57,1087911
JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",81,8825131
Queens of the Stone Age,"alternative metal, alternative rock, grunge, modern rock, palm desert scene, rock, stoner metal, stoner rock",69,3408707
Foreigner,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",68,3015230
Jan Blomqvist,"deep euro house, melodic house",59,242150
Quantic,"downtempo, electronica, latin alternative, nu jazz, nu-cumbia, trip hop",59,332788
London Dunes,,45,76
BASSTON,techno remix,59,31722
MOGUAI,"dutch house, edm, electro house, german techno, pop dance, progressive electro house, progressive house",51,104465
Powfu,"sad lo-fi, sad rap",67,1235808
Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",85,34151803
Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap",83,3218586
Line Dances,kids dance party,14,3320
Ludwig van Beethoven,"classical, classical era, early romantic era, german romanticism",70,5155414
System Of A Down,"alternative metal, nu metal, rap metal, rock",77,9956959
Kali Uchis,colombian pop,82,5840472
Todd Rundgren,"art rock, country rock, folk rock, heartland rock, mellow gold, philly soul, power pop, singer-songwriter, soft rock, zolo",51,347836
Gary Puckett & The Union Gap,"adult standards, bubblegum pop, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock",42,245940
Original Broadway Cast of Dear Evan Hansen,"broadway, show tunes",49,50596
Pennywise,"punk, skate punk, socal pop punk",53,737747
Air Raid,"neo-trad metal, nwothm, swedish heavy metal",26,9255
Soulfly,"alternative metal, groove metal, industrial metal, metal, nu metal, rap metal",47,674525
Wage War,"melodic metalcore, metalcore",58,436289
Yoga Lin,"chinese r&b, mandopop",53,601746
John Summit,"house, pop dance, tech house, uk dance",66,197176
Simone Mendes,sertanejo,76,691441
Marcynho Sensação,"arrocha, forro",57,1101392
Imagine Dragons,"modern rock, pop, rock",85,51539162
Ziv Zaifman,show tunes,53,12598
Little Mix,"girl group, pop, talent show, uk pop",72,11826942
Janelle Monáe,"afrofuturism, alternative r&b, atl hip hop, neo soul, r&b",65,1428833
Sister Nancy,dancehall queen,49,137000
Disturbed,"alternative metal, nu metal, rap metal, rock",71,6389269
ATARASHII GAKKO!,j-pop girl group,57,579160
Led Zeppelin,"album rock, classic rock, hard rock, rock",74,13977574
Mavi Gri,"turkish alt pop, turkish rock",61,1137765
Ozzy Osbourne,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock",69,5170959
Dashboard Confessional,"emo, neon pop punk, pop punk, pop rock",53,597482
Seiko Matsuda,"idol kayo, j-pop, japanese singer-songwriter, kayokyoku, techno kayo",52,384061
Skool Of Thought,"breakbeat, nu skool breaks",28,8135
Robert Armani,"acid house, chicago house, techno",27,7256
DJ WILLY WOW!,kids hip hop,4,246
Melanie Martinez,"alt z, electropop, pop",78,18955865
Bayanni,"afrobeats, nigerian pop",55,86686
The Mars Volta,"el paso indie, garage rock",48,642550
Gene Farris,"bass house, chicago house, tech house",35,17047
Los 4,"cubaton, modern salsa, reparto, salsa urbana",53,596093
DJ Sliink,"bmore, electronic trap, jersey club, vogue",40,17495
White Noise Baby Sleep Music,sleep,57,7073
Timmies,"lo-fi chill, sad lo-fi",57,275216
Vicky Arlidge,"british children's music, children's music, nursery",59,11008
Mayday Parade,"neon pop punk, pop emo, pop punk",58,1372605
Stuart Duncan,"bluegrass fiddle, progressive bluegrass",39,10660
Ilkay Sencan,"turkish deep house, turkish edm",57,77143
Morgan Wallen,contemporary country,85,7862591
Brutal Truth,"american grindcore, brutal death metal, death metal, deathgrind, grindcore, new york death metal",28,58680
Gigamesh,"electrofox, filter house, nu disco",57,37572
Shashwat Singh,"desi pop, indian fusion, modern bollywood",53,8826
ZYZZMODE,gym hardstyle,56,5976
ØYSTEIN SEVÅG,new age,48,7916
Nadezhda Obukhova,russian romance,0,144
MF DOOM,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop",73,2469755
Little Feat,"blues rock, country rock, folk, folk rock, heartland rock, jam band, mellow gold, roots rock, southern rock, swamp rock",52,442312
Ian Pooley,"chicago house, deep house, disco house",34,32778
Feid,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",89,8667593
Malcolm Yelvington,"honky tonk, rockabilly, traditional rockabilly",16,2862
Alex Brightman,"broadway, show tunes",49,23204
Klaus Badelt,"german soundtrack, orchestral soundtrack, soundtrack",59,117766
Will Roland,"broadway, show tunes",49,7733
Wishes and Dreams,lo-fi study,49,1250
King Promise,"afrobeats, ghanaian alternative, ghanaian pop",60,463014
Evanescence,alternative metal,71,4210842
ScHoolboy Q,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",69,4641747
Jeff Wahl,"christmas instrumental, instrumental acoustic guitar",39,1049
The Smiths,"madchester, new wave, permanent wave, rock, uk post-punk",76,4842057
Coach Kody,kids hip hop,13,241
General Midi,"breakbeat, nu skool breaks",20,6297
Kid Koala,"montreal indie, scratch, trip hop, turntablism",45,107605
Legião Urbana,"brazilian rock, mpb, rock brasiliense, rock nacional brasileiro",66,6175224
Wax Tailor,"electronica, hip-hop experimental, nu jazz, trip hop",52,288297
Juls,"afrobeats, afropop, afroswing, uk dancehall",49,307076
Niña Pastori,"flamenco, pop flamenco, rumba, spanish pop",58,791837
Charly Black,"dancehall, jamaican dancehall",57,340555
Dystopia,"california hardcore, crust punk, dutch black metal, powerviolence",43,93010
Canbay & Wolker,"turkish hip hop, turkish trap",61,1247575
puremind,gym hardstyle,53,10040
Fat Joe,"bronx hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, trap",65,1726008
Bohnes,"dark r&b, rebel blues",55,203212
Maria Callas,"classical, classical soprano, opera",50,306593
Carlos Di Sarli,"tango, tango cancion, vintage tango",35,28252
Hannibal Buress,"black comedy, comedy, deep comedy, new comedy",40,81296
Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",79,9098991
WayV,"chinese idol pop, k-pop",61,2052836
Yisa Yu,"mainland chinese pop, mandopop",49,287191
Bezerra Da Silva,"brazilian reggae, coco, mpb, pagode, partido alto, samba, umbanda, velha guarda",51,458956
Django 3000,"neue volksmusik, volkspop",32,23556
Killswitch Engage,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal, post-grunge",61,1822428
Little Richard,"blues, rock-and-roll, rockabilly, soul",54,903579
Lvbel C5,"turkce drill, turkish hip hop, turkish trap",66,1724829
The Mountain Goats,"anti-folk, chamber pop, folk punk, indie rock, lo-fi, melancholia, new weird america",54,366635
Dardan,"albanian hip hop, german hip hop",68,1085772
Derek & The Dominos,"album rock, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, heartland rock, mellow gold, psychedelic rock, rock, singer-songwriter",55,680555
Ace of Hearts,heavy gothic rock,38,55042
Omar Sheriff,,44,1668
Armin van Buuren,"dutch trance, edm, pop dance, progressive house, trance",72,4362135
Thrice,"post-hardcore, screamo",53,447641
Nogizaka46,"j-idol, j-pop, j-pop girl group",60,1228004
TRI.BE,k-pop girl group,47,345244
Orquesta Juan D' Arienzo,"orquesta tipica, vintage tango",24,2592
Zeca Pagodinho,"mpb, pagode, partido alto, samba, samba de roda",62,1703698
Darkthrone,"black 'n' roll, black metal, blackened crust, metal, norwegian black metal, norwegian death metal, norwegian metal",43,355004
