Name,Genres,Popularity,Followers
Celtic Frost,"black metal, black thrash, death metal, deathrash, metal, old school thrash, swiss black metal, swiss metal",37,231149
Wooli,"brostep, dubstep",55,98189
AKB48,"48g, j-idol, j-pop, j-pop girl group",52,455285
Lund,emo rap,56,531762
Chris Lake,"bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house",63,300336
Sex Prisoner,"arizona punk, crust punk, grindcore, modern hardcore, powerviolence",23,13303
Antonín Dvořák,"classical, czech classical, late romantic era",60,590871
Young M.A,"alternative r&b, lgbtq+ hip hop, nyc rap, rap, trap",57,1431613
Khantrast,anime rap,59,141358
HM Surf,"lo-fi beats, lo-fi study",52,31313
Chuck Mead,neo honky tonk,12,3610
The Temptations,"memphis soul, motown, soul",65,2857472
Frankie Knuckles,"acid house, chicago house, classic house, deep house, diva house",47,126813
Culture Shock,"dancefloor dnb, drum and bass, uk dnb",47,76120
Isak Danielson,swedish singer-songwriter,58,251955
Intence,"dancehall, jamaican dancehall, jamaican hip hop, traphall",38,130334
Al Green,"classic soul, funk, memphis soul, soul, soul blues, southern soul",63,1894476
The Upbeats,"darkstep, drum and bass, neurofunk, nz dnb, nz electronic",38,56127
The Human League,"new romantic, new wave, new wave pop, permanent wave, sophisti-pop, synthpop",60,1102888
Sleep Fruits Music,sleep,61,95484
Plain White T's,"modern rock, neo mellow, neon pop punk, pop punk, pop rock",61,1220211
Eddie Cochran,"rock-and-roll, rockabilly",49,324574
Tmsoft’s White Noise Sleep Sounds,sleep,52,11677
NF,"hip hop, pop rap",78,9293230
Capleton,"dancehall, lovers rock, reggae, roots reggae",53,328580
Of Monsters and Men,"folk-pop, metropopolis, modern rock, stomp and holler",65,3531110
Marusha,"bubble trance, eurodance, happy hardcore",32,30306
Nujabes,"ambeat, chillhop, downtempo, instrumental hip hop, japanese chillhop, japanese old school hip hop, jazz rap",61,1023610
TK from Ling tosite sigure,"j-poprock, j-rock",55,411420
Apollo 440,"big beat, breakbeat, rave",41,133712
Denis Turbide,instrumental acoustic guitar,46,2159
Dopplereffekt,"detroit techno, electro, intelligent dance music, techno",24,33420
Donna Summer,"disco, hi-nrg, new wave pop, soft rock",61,1879161
The Green,"jawaiian, reggae rock",49,182253
"Grover Washington, Jr.",soul jazz,61,330173
Tiga,"alternative dance, canadian electronic, dance-punk, electroclash, electronica, filter house, minimal techno, new rave",47,126188
PASSEPIED,"idol rock, j-rock, japanese alternative rock, japanese indie pop",34,67002
Shiloh Dynasty,"lo-fi chill, sad lo-fi",73,1666546
ODESZA,"chillwave, edm, indietronica",67,1563286
Morat,"colombian pop, latin viral pop",80,10204651
RÜFÜS DU SOL,"australian electropop, indietronica",68,1491563
Bell Biv DeVoe,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary",53,1051536
Jean-Philippe Rameau,"baroque, classical, classical era, early music, french baroque, french opera",54,73395
Gareth Emery,"edm, pop dance, progressive electro house, progressive house, trance",56,313416
Waterparks,"neon pop punk, pixie, pop punk, pov: indie, texas pop punk",59,504756
Trans-Siberian Orchestra,"neo classical metal, progressive metal",63,326139
Asake,"afrobeats, nigerian pop",70,2427964
Whales,"dubstep, gaming edm",51,39639
Victony,"afrobeats, nigerian pop",66,611942
Eric Hutchinson,"acoustic pop, neo mellow",46,158601
Mc Davi,"funk carioca, funk mtg, funk paulista",73,3815867
Faye Webster,"atlanta indie, indie pop",69,855919
Jim Hall,"contemporary post-bop, cool jazz, jazz guitar",46,70799
Technikore,"deep happy hardcore, happy hardcore",43,19740
Melingo,tango,29,12354
TOTO,"album rock, classic rock, hard rock, mellow gold, rock, soft rock, yacht rock",70,2788247
Brand New,"emo, pop punk, post-hardcore, screamo",55,708198
Teddy Killerz,"drum and bass, neurofunk, russian dnb",37,41338
Machine Head,"alternative metal, groove metal, hard rock, industrial metal, melodic groove metal, metal, nu metal, progressive groove metal",56,1277038
Cruz Cafuné,"rap canario, spanish hip hop, urbano espanol",66,318549
Wolfgang Amadeus Mozart,"classical, classical era",72,5277790
SEKAI NO OWARI,"anime, j-pop",65,2331779
Adriel Favela,"banda, corrido, corridos alternativos, corridos tumbados, musica mexicana, norteno, sad sierreno, sierreno",64,1541019
Lamp,japanese alternative pop,63,884622
Mike Perry,"pop dance, swedish tropical house",61,1532677
Kurtuluş Kuş,turkish pop,62,621984
Marko Hietala,finnish heavy metal,37,24329
Boards of Canada,"electronica, indietronica, intelligent dance music, scottish electronic, trip hop",54,607766
DJ Isaac,"australian dance, classic hardstyle, euphoric hardstyle, gabber, happy hardcore",49,77254
Arash Azadi,iranian experimental,0,44
Godspeed You! Black Emperor,"canadian post-rock, double drumming, experimental rock, instrumental post-rock, noise pop, post-rock",40,385001
Anthony Keyrouz,"arab electronic, covertronica, slap house",62,28425
Green Day,"modern rock, permanent wave, punk, rock",78,14581093
Eartha Kitt,"torch song, vocal jazz",63,172632
Nina Simone,"jazz blues, neo soul, soul, soul jazz, torch song, vocal jazz",66,2736568
Byron Stingily,"chicago house, classic house, garage house",31,9280
The Qemists,"drum and bass, future rock",39,94915
Ikimonogakari,"anime, j-pop",58,1304780
Nine Inch Nails,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",63,2456985
Alfredo De Angelis,"orquesta tipica, tango, vintage tango",38,25969
HARDY,"contemporary country, modern country pop",72,621223
Gal Costa,"bossa nova, mpb, samba, tropicalia",60,803531
Jimi Hendrix,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",67,6490763
Four Tet,"electronica, folktronica, indietronica, intelligent dance music, trip hop",60,690969
Iron Maiden,"alternative metal, hard rock, metal, nwobhm, rock",70,8742861
Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie",78,4964477
Muffin Songs,"children's music, nursery",56,21093
J.J. Cale,"blues, blues rock, folk rock, roots rock, singer-songwriter",59,760467
Cazuza,"brazilian rock, mpb, rock nacional brasileiro",60,1894365
AYLIVA,german pop,73,1130447
Camilo,"colombian pop, latin pop, latin viral pop, reggaeton colombiano",76,18517840
Toploader,british alternative rock,59,84072
YUNGBLUD,"british indie rock, modern rock, pov: indie, rock",66,2192759
The Avalanches,"australian alternative rock, australian dance, collage pop, electronica, indietronica, new rave, psychedelic hip hop",53,522758
The Magnetic Fields,"alternative rock, chamber pop, lo-fi, melancholia, metropopolis, permanent wave, tape club",49,216412
Angband,iranian metal,0,451
Morgan Wallen,contemporary country,85,7862591
Freestylers,"big beat, breakbeat",40,73784
Megan Thee Stallion,"houston rap, pop, r&b, rap, trap queen",75,8256734
The Drifters,"adult standards, doo-wop, rock-and-roll, rockabilly, soul",59,505204
Black Eyed Peas,"dance pop, pop, pop rap",77,7882544
Becky G,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino",77,14345542
Nicky Jam,"latin hip hop, reggaeton, trap latino, urbano latino",78,19286090
Timaya,"afrobeats, afropop, azonto, dancehall, nigerian pop",51,617385
Suburban Knight,"detroit techno, techno",15,5720
Supertramp,"album rock, art rock, classic rock, glam rock, mellow gold, piano rock, progressive rock, rock, soft rock, symphonic rock",68,3294560
Владимир Бунчиков,russian romance,8,322
Prithvi,"indian lo-fi, lo-fi study",47,2585
Saba Alizadeh,iranian experimental,5,1843
"Not Secured, Loose Ends","idol rock, j-pixie, japanese post-hardcore, kawaii metal",24,8316
Miriam Yeung,cantopop,49,355594
James TW,"british singer-songwriter, uk pop",63,1372614
Counting Crows,"neo mellow, pop rock, post-grunge, rock",65,1727434
Yanni,new age,56,483851
Stevie Wonder,"motown, soul",75,6352990
Eddie Vedder,"acoustic rock, grunge, permanent wave",59,1553846
Starship,"album rock, classic rock, mellow gold, new romantic, new wave pop, soft rock, synthpop",63,1006052
Paul Baloche,"ccm, christian alternative rock, christian music, classic praise, french worship, world worship, worship",44,159313
Super Siah,kids hip hop,28,38503
Children Of Bodom,"alternative metal, finnish death metal, finnish melodeath, groove metal, melodic death metal, metal, power metal, speed metal",54,684419
Stereolab,"alternative rock, art pop, experimental, experimental pop, experimental rock, indietronica, no wave, noise pop, tape club",48,297107
Lluvia para Dormir,sleep,68,18099
Wildstylez,"classic hardstyle, euphoric hardstyle",52,188488
White Noise Baby Sleep,sleep,72,33907
Philip Wesley,new age piano,42,39704
The Crickets,"doo-wop, rock-and-roll, rockabilly",51,110589
Natos y Waor,"rap underground espanol, spanish hip hop, urbano espanol",63,788522
Reynmen,"turkish hip hop, turkish pop",62,2847724
Electric Callboy,"comic metal, german metalcore, trancecore",64,684315
The Brian Setzer Orchestra,"heartland rock, rockabilly, swing, swing revival",47,95523
Doja Cat,"dance pop, pop",86,27642098
Ghorwane,"marrabenta, musica mocambicana, world",14,3485
KSHMR,"big room, dutch house, edm, electro house, indian edm, pop dance, progressive electro house, slap house",63,1767993
Justin Bieber,"canadian pop, pop",88,75056594
Carl Philipp Emanuel Bach,"classical, classical era, galante era, german baroque",56,116354
Topic,"german dance, pop dance, pop edm, uk dance",71,224859
Claude VonStroke,"bass house, deep disco house, fidget house, house, minimal techno",38,123811
Damso,"belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient",72,4913418
LUDMILLA,"funk carioca, funk pop, funk rj, pagode baiano, pop nacional",73,6916972
I Virtuosi Italiani,"chamber orchestra, classical performance, string orchestra",65,8972
Dei V,"trap latino, urbano latino",74,269075
JayO,afrobeats,54,46142
The Blaze,new french touch,62,541466
Michael Schulte,"german pop, talentschau",63,311498
Arko,"desi pop, filmi, modern bollywood",57,785184
Sara Bareilles,"acoustic pop, ectofolk, lilith, neo mellow, pop rock, post-teen pop",63,1934778
Chingo Bling,"chicano rap, latin hip hop, latino comedy, texas latin rap",36,100113
Brad Jacobsen,"christmas instrumental, new age piano",43,3226
Boys Noize,"alternative dance, dance-punk, electro house, fidget house, filter house, german dance, german techno, new rave",55,282996
GAMPER & DADONI,"german dance, pop dance, tropical house",64,147739
La Quinta Estacion,"latin arena pop, latin pop, spanish pop rock",64,2883845
The Supremes,"classic girl group, disco, motown, soul",62,1654314
Howlin' Wolf,"acoustic blues, blues, chicago blues, delta blues, harmonica blues, memphis blues, traditional blues",49,501617
Boris Brejcha,"german house, german techno, high-tech minimal, minimal techno",61,1302344
New Re-Mix Squad,kids dance party,7,213
Parkway Drive,"alternative metal, australian metalcore, melodic metalcore, metalcore, nu metal",60,1080675
The Diamonds,"rhythm and blues, rock-and-roll, rockabilly",38,84030
Mr. Fingers,"acid house, chicago house, classic house",34,60045
Saint Abdullah,"deconstructed club, iranian experimental",16,2827
Chicão do Piseiro,"arrochadeira, forro",54,202881
Crayon,"afrobeats, nigerian pop",60,326352
Paul Kalkbrenner,"electronica, german techno, leipzig electronic, minimal techno",60,1197598
Sleep Fruits,sleep,66,555
The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock",69,3932652
Deorro,"dutch house, edm, electro house, melbourne bounce, melbourne bounce international, pop dance, progressive electro house",63,1250484
Deterioration,"american grindcore, goregrind, grindcore, minnesota metal, powerviolence",22,7519
Javed Ali,"desi pop, filmi, modern bollywood",68,9495065
Stick Figure,"reggae fusion, reggae rock",63,619791
Steven Halpern,"healing, meditation, sleep",53,60534
Cages,deep groove house,43,5163
Rusty & Doug Kershaw,honky tonk,8,484
Old Town School of Folk Music,children's folk,44,11541
Kettel,"abstract, deep idm, drill and bass, intelligent dance music",35,25373
Cloud Nothings,"cleveland indie, indie punk, indie rock, lo-fi, modern power pop, noise pop, noise rock, popgaze",38,164185
GG Magree,dubstep,45,22281
Alice Lee,show tunes,50,6139
Belo,pagode,66,1505803
Kodomo,"ambient idm, space ambient",34,26469
Don Bigg,"arabic hip hop, rap maroc",47,599266
Jermaine Edwards,gospel reggae,53,39626
Engenheiros Do Hawaii,"brazilian rock, pop rock brasileiro, rock gaucho, rock nacional brasileiro",62,2374440
DJ Spen,"chicago house, deep house, soulful house",34,21562
Fresh The Clowns,kids hip hop,9,13963
Maria Rita,"bossa nova, mpb, pagode, samba",56,759970
Atitude 67,"pagode novo, pop nacional, sertanejo universitario",60,1284217
Kollektiv Turmstrasse,"german techno, hamburg electronic, minimal techno, organic electronic",45,250650
22Gz,"brooklyn drill, nyc rap",59,452315
JJ Grey & Mofro,"jam band, modern blues, modern blues rock, swamp rock",50,166191
Matt Maltese,"indie anthem-folk, indie pop, pov: indie",66,458689
reidenshi,ambient lo-fi,68,33933
Old Dominion,"contemporary country, country, country road, modern country rock",66,1448023
Sublime,"rap rock, reggae fusion, ska mexicano, ska punk",67,2674444
Sohrab Motabar,iranian experimental,0,4
Hotel Ugly,modern indie pop,73,476442
Nelly Furtado,"canadian latin, canadian pop, dance pop, pop",74,3671150
Jess Lee,"malaysian mandopop, mandopop",41,147134
Benny Friedman,jewish pop,50,87508
Simon & Garfunkel,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",69,4940735
Kyle Edwards,jersey club,37,16998
Therion,"gothic metal, gothic symphonic metal, opera metal, power metal, swedish metal, symphonic black metal, symphonic death metal, symphonic metal",47,305546
Intoxicados,"argentine rock, ska argentino",58,1103968
Dan Mintz,deep comedy,37,1919
Billy Ocean,"disco, mellow gold, new romantic, new wave pop, soft rock, yacht rock",60,1123275
Oh Wonder,"electropop, indie poptimism, pov: indie",64,1064091
Vintage Culture,brazilian edm,69,1797099
Nate Dogg,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap",73,1546355
Kurupt,"g funk, west coast rap",59,700785
Patrick Watson,"indie folk, indie quebecois",69,649263
Blake Baxter,"detroit house, detroit techno, proto-techno, techno",17,7885
Joe Arroyo,"salsa, salsa colombiana, tropical",59,788621
Molly Tuttle,"folk, new americana, progressive bluegrass",49,76513
The Neighbourhood,"modern alternative rock, modern rock, pop, pov: indie",82,14591106
Turnstile,"hardcore punk, modern melodic hardcore",58,484195
DJ Fluke,,50,7062
Chico César,"bossa nova, mpb, musica paraibana, samba",51,373268
Daniel Tosh,comedy,37,129137
Y.V.E. 48,"deep tropical house, tropical house",56,80824
Piyush Mishra,indian folk,53,74874
Thy Art Is Murder,"australian metal, australian metalcore, deathcore, melodic metalcore, metalcore",51,451148
Nile Rodgers,disco,68,119404
Washington Brasileiro,forro,48,137188
Diplo,"dance pop, edm, electro house, moombahton, pop dance",75,2597347
Taking Back Sunday,"emo, neon pop punk, pop punk, post-hardcore, screamo",60,819659
Immortal Technique,"conscious hip hop, east coast hip hop, hardcore hip hop, harlem hip hop, political hip hop",50,497996
Sharon Van Etten,"art pop, chamber pop, indie rock, melancholia, new jersey indie, singer-songwriter",53,508988
The Plot In You,metalcore,59,344798
Omar Apollo,"bedroom pop, bedroom soul",67,907270
Pet Shop Boys,"dance rock, new romantic, new wave, new wave pop, permanent wave, synthpop",65,1685756
Marshall Jefferson,"acid house, chicago house, classic house",47,29603
The Paper Kites,"acoustic pop, australian indie folk, indie anthem-folk, indie folk, stomp and flutter, stomp and holler",67,727281
The Del McCoury Band,"bluegrass, jam band, progressive bluegrass",38,50316
Skank,"brazilian rock, latin alternative, manguebeat, mpb, pop rock brasileiro, rock mineiro, rock nacional brasileiro",65,2916700
C Paul Johnson,video game music,43,1910
Daniel Tiger’s Neighborhood,"cartoon, children's music",53,37429
Play School,australian children's music,52,26290
Shovels & Rope,"alternative country, indie folk, new americana, progressive bluegrass, south carolina indie, stomp and holler",44,174331
reezy,"german hip hop, german r&b",69,434616
August Burns Red,"christian metal, christian metalcore, melodic metalcore, metalcore",54,696536
Stephan Bodzin,"deep techno, german techno, minimal techno",44,296863
Darlene Zschech,"ccm, christian music, classic praise, world worship, worship",50,337929
Cajmere,"chicago house, classic house, footwork",42,29990
brillion.,"lo-fi beats, lo-fi study",50,14827
Upchurch,"country rap, redneck",66,1676601
Helzgloriam,iranian metal,0,162
Gregory Porter,"contemporary vocal jazz, jazz pop, vocal jazz",59,616145
LE SSERAFIM,k-pop girl group,76,3741931
Future Islands,"alternative dance, art pop, baltimore indie, chamber pop, indie rock, indietronica, neo-synthpop, shimmer pop",59,572089
Water Sound Natural White Noise,"sleep, white noise",52,3173
El Jordan 23,"mambo chileno, urbano chileno",68,1150746
Shenseea,"dancehall, dancehall queen",61,636464
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",79,7081190
Connate Exasperation,iranian metal,0,69
Miguel Caló,"orquesta tipica, tango, vintage tango",32,16787
Mom Jeans.,"alternative emo, diy emo, emo, indie punk, north carolina emo",54,267282
Öwnboss,brazilian edm,61,78177
Ten City,"chicago house, classic house, deep house",30,22080
Ray Volpe,"brostep, dubstep, gaming dubstep",48,112087
Duncan Dhu,"cantautor, latin alternative, latin rock, mexican rock, rock en espanol, spanish new wave, spanish pop",57,720370
Rammstein,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte",77,9010994
ONYVAA,detroit techno,18,10430
Tycho,"chillwave, downtempo, electronica, indietronica, intelligent dance music",54,678175
Felix Jaehn,"edm, german dance, pop dance, tropical house",72,1301036
Rainie Yang,mandopop,50,729189
The Steeldrivers,"bluegrass, modern southern rock, neo-traditional bluegrass, new americana",58,340593
Lil Yachty,"atl hip hop, melodic rap, rap, trap",77,9518534
ABBA,"europop, swedish pop",77,11351718
Rage Against The Machine,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",69,5740326
Vernon Oxford,"arkansas country, classic country pop, honky tonk",18,3603
Still Woozy,"bedroom pop, oakland indie, pov: indie",65,949843
Rhett and Link,"antiviral pop, comedy rock",39,116102
Aaron Smith,chicago house,62,310970
Arch Enemy,"alternative metal, death metal, melodic death metal, metal, power metal, speed metal, swedish death metal, swedish melodeath, swedish metal, symphonic metal",55,963499
Jay & The Americans,"bubblegum pop, classic garage rock, doo-wop, merseybeat, rock-and-roll",47,128330
Basement,"alternative emo, dreamo, emo",58,292522
The Crystal Method,"big beat, breakbeat, electronica",46,302431
Sheena Ringo,"j-pop, j-rock",59,1618506
Elvenking,"fantasy metal, folk metal, gothic symphonic metal, italian folk metal, italian metal, italian power metal, melodic metal, power metal, tolkien metal",44,106989
Jules Massenet,"classical, french opera, french romanticism, post-romantic era",50,33838
Caribou,"alternative dance, art pop, electronica, folktronica, indietronica, intelligent dance music, trip hop",53,651200
Bomba Estéreo,"cumbia, latin alternative, latin rock, pop electronico, tropical alternativo",67,1067499
zebrahead,"funk metal, skate punk",49,331200
CeCe Rogers,"chicago house, classic house",34,35277
Vicky Chen,"mandopop, taiwan singer-songwriter",52,158371
Philip Glass,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism",58,607016
"Fran Berge, Violin; Scott Wagner, Viola; Heidi Jacobs, Cello; Charles Abromovic, Piano",,0,6
Barry White,"disco, quiet storm, soul",63,1806758
Peter Sandberg,"compositional ambient, focus",54,63214
Los Enanitos Verdes,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino",70,3945227
The B-52's,"album rock, classic rock, dance rock, new romantic, new wave, new wave pop, permanent wave, post-punk, rock, zolo",57,1030917
The Outfield,"album rock, power pop",63,602472
STAYC,"k-pop, k-pop girl group",61,1632035
Duki,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",81,9922307
Mipso,"new americana, north carolina roots, progressive bluegrass, stomp and holler",48,77429
Kranium,"basshall, dancehall",54,213364
Stephy Tang,cantopop,44,45403
Conway the Machine,"alternative hip hop, boom bap, buffalo hip hop, upstate ny rap",59,279874
Franz Schubert,"classical, classical era, early romantic era",62,1068123
Estopa,"pop flamenco, rumba, spanish pop",68,1850639
Roupa Nova,mpb,58,2339150
Klubfiller,"bouncy house, deep happy hardcore",32,5881
Kesha,"dance pop, pop",74,7752592
Cody Johnson,"classic texas country, contemporary country",73,1042633
White Noise for Babies,sleep,68,6500
nite sky,"color noise, healing hz, sleep",51,593
Del Shannon,"doo-wop, rock-and-roll, rockabilly",45,279748
mell-ø,"lo-fi beats, lo-fi study",50,16665
Timo Maas,"big beat, breakbeat, classic progressive house, nu skool breaks",37,54735
The Ataris,"emo, pop punk, pop rock, skate punk",47,248035
Djadja & Dinaz,"french hip hop, pop urbaine, rap conscient",69,2502599
Title Fight,"alternative emo, dreamo, emo, grungegaze, spacegrunge",58,329038
Preschool Popstars,kids dance party,10,6950
Bobby Darin,"adult standards, easy listening, lounge, rock-and-roll, vocal jazz",59,535245
Hokey Pokey Kids,kids dance party,8,2490
Sylosis,"groove metal, melodic death metal, melodic metalcore",46,128329
AC/DC,"australian rock, hard rock, rock",78,27807532
Solomun,"german techno, hamburg electronic, melodic techno, minimal techno",56,918319
L’Impératrice,,16,197
Tommy Ice,"emo rap, sad rap",47,67746
CAPSULE,"japanese dance pop, japanese electropop",43,112653
Jeet Gannguli,"filmi, modern bollywood, west bengali pop",65,1127286
Macaroni Empitsu,"anime, j-pop, japanese alternative rock, japanese teen pop",64,1178374
Black Sabbath,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",71,7437686
Mushroomhead,"alternative metal, cleveland metal, industrial metal, nu metal, rap metal",49,746610
Mecano,"cantautor, latin alternative, latin pop, rock en espanol, spanish pop, spanish pop rock",63,1714349
Mind Against,"deep techno, italian techno, melodic techno, minimal techno",43,114767
Michael Jackson,"r&b, soul",80,29618083
Sneaker Pimps,"electronica, trip hop",47,246165
The Chiffons,"brill building pop, classic girl group, doo-wop, rock-and-roll",45,121136
Tim McGraw,"contemporary country, country, country road",69,4508859
Unknown Mortal Orchestra,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop",58,828960
Enya,"celtic, middle earth, operatic pop",69,2070323
Anupam Roy,"filmi, hindi indie, indian singer-songwriter, kolkata indie, west bengali pop",53,1493758
Olga Tañón,"puerto rican pop, salsa, tropical",57,989259
De Hofnar,"deep tropical house, tropical house",52,64502
Zeds Dead,"brostep, canadian electronic, dubstep, edm, electro house, progressive electro house",58,584644
Van Morrison,"classic rock, folk, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",69,3035289
Proyecto Uno,"latin house, salsa, tropical",55,334386
Mainstreet,"trap carioca, trap funk",73,436720
Kato,anime lo-fi,63,127345
Phillipa Soo,"broadway, show tunes",63,63853
Hugh Jackman,"hollywood, show tunes",64,585842
Joshua Henry,show tunes,47,5793
Madonna,"dance pop, pop",78,7419029
Luke Abbott,"abstract idm, microhouse",26,22755
Thiago Aquino,"arrocha, forro",56,322562
Ella Fitzgerald,"adult standards, jazz, jazz blues, soul, swing, vocal jazz",72,2394805
Casper & Col'ta,kids dance party,26,250
Enrique Iglesias,"dance pop, latin pop, mexican pop",75,11319711
John Denver,"classic country pop, folk, folk rock, mellow gold, singer-songwriter, soft rock",67,2037736
MAKAVELI MOTIVATION,gym hardstyle,46,27884
Leslie Cheung,"c-pop, cantopop",51,625571
TAEYEON,k-pop,66,2848513
Felipe Araújo,"arrocha, sertanejo, sertanejo universitario",63,5706342
Jeremy Jordan,"broadway, show tunes",48,66636
A Great Big World,"neo mellow, piano rock, pop rock, viral pop",59,568992
The Herbaliser,"downtempo, electronica, trip hop",49,133239
Kollegah,german hip hop,65,1467973
Amy Winehouse,"british soul, neo soul",73,8614316
Eyedress,"noise pop, pov: indie",73,1572122
Joan Sebastian,"banda, grupera, musica mexicana, norteno, ranchera",74,9568733
Malibu,"pagode novo, pop nacional",56,171911
Mc IG,"funk carioca, funk consciente, funk mtg, funk paulista",78,2287560
Carlos Libedinsky,"neotango, tango",25,5932
HELLYEAH,"alternative metal, groove metal, industrial metal, nu metal, post-grunge, southern metal",48,694478
Sade,"british soul, sophisti-pop",71,3536838
Chord Overstreet,acoustic pop,61,187369
Jessie Ware,"british soul, electropop, neo soul, pop soul, uk pop",58,753543
The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock",73,5342425
Staind,"alternative metal, nu metal, post-grunge",62,2453317
Freddy y los Solares,cumbia santafesina,31,21296
Bruno Martini,"brazilian edm, pop nacional",62,157872
Olivia Newton-John,"adult standards, australian dance, disco, mellow gold, soft rock",65,1478790
The Martinez Brothers,"deep disco house, house, minimal tech house, minimal techno",51,209207
Divide Music,"anime rap, otacore",52,87706
Electric Slide Music Makers,kids dance party,22,1795
Bill Withers,"classic soul, funk, quiet storm, soul",71,1608051
Z-Chen,"chinese r&b, malaysian mandopop, mandopop",42,46873
Miley Cyrus,pop,82,22898520
Palisades,"metalcore, trancecore",42,170635
Arcángel,"latin hip hop, reggaeton, trap latino, urbano latino",82,12827017
Pity Party (Girls Club),indie garage rock,56,111460
RZA,"east coast hip hop, hardcore hip hop",62,545372
The Head And The Heart,"folk-pop, seattle indie, stomp and holler",61,1073202
Alberto Echagüe,vintage tango,27,2676
"Choir of King's College, Cambridge / David Willcocks, Conductor / Simon Preston, Organ",,1,17
Tiësto,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance",81,7217807
12th Planet,"brostep, dubstep, filthstep",43,187745
The Turtles,"bubblegum pop, classic rock, folk rock, merseybeat, psychedelic rock, rock-and-roll, rockabilly",57,585444
Alla Bayanova,russian romance,1,508
Ivan Rebroff,"russian folk, russian romance",28,14939
Anuv Jain,"desi pop, hindi indie, indian indie, indian singer-songwriter",63,1142501
The Marías,"bedroom pop, la indie",67,1100689
Sonny & Cher,"adult standards, bubblegum pop, folk, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter, soft rock",49,402191
Ilkae,"deep idm, intelligent dance music",26,4883
Mariya Takeuchi,"classic city pop, idol kayo, japanese singer-songwriter",54,707466
Kraff Gad,"dancehall, jamaican dancehall",44,61831
Matrix & Futurebound,drum and bass,45,48321
GoKeeKeeGo,kids hip hop,7,4251
Sebastian Ingrosso,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house",58,973443
Александр Добронравов,russian romance,10,351
The Emotions,"chicago soul, classic soul, disco, funk, girl group, motown, post-disco, quiet storm, soul, southern soul",60,571933
John Leguizamo,latino comedy,42,3737
Joe Walsh,"album rock, blues rock, classic rock, country rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, southern rock",52,1234534
Kenny Dope,"chicago house, classic house, deep house, pop dance, soulful house",59,24627
PLK,"french hip hop, pop urbaine, rap conscient, rap francais",70,1640911
Fairlane,"melodic dubstep, pop edm",44,30767
Koryn Hawthorne,"gospel, gospel r&b",50,185828
Macon,techno remix,58,29616
Jhove,"lo-fi beats, lo-fi study",52,14254
The Red Chord,"boston metal, deathcore, deathgrind, grindcore, mathcore, melodic metalcore, technical deathcore",23,40292
Cedric Gervais,"dutch house, edm, electro house, pop dance, progressive electro house",62,104526
Ninho,"french hip hop, pop urbaine",76,9070301
Dadju,"french hip hop, pop urbaine, r&b francais",69,5610507
MC PH,"funk consciente, funk paulista",76,1257376
Claptone,"german house, german techno, progressive house",61,509122
Widespread Panic,"athens indie, jam band, southern rock",46,272461
Austin Farwell,ambient lo-fi,62,103419
SEVENTEEN,"k-pop, k-pop boy group",78,10710560
Aventura,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",76,7710251
Schürze,partyschlager,52,9458
Idina Menzel,"broadway, hollywood, movie tunes, show tunes",69,447744
Gateway Worship,"ccm, christian music, world worship, worship",43,393670
Omah Lay,afrobeats,70,2084779
Project AER,"ambient guitar, lo-fi study",44,6338
Twin Peaks,"chicago indie, indie garage rock, modern power pop",43,160950
Laufey,gen z singer-songwriter,78,2341659
John Coltrane,"bebop, free jazz, jazz, jazz saxophone, vocal jazz",63,1590094
The Fisk Jubilee Singers,"spirituals, vintage gospel, vocal harmony group",49,4685
Wun Two,"chillhop, lo-fi beats",53,82071
