id_event,short_title,performer_id,performer_name,average_price,venue_state,id_performer,name_merged,type_performer,taxonomy_id,genre_id,genre_name,postal_code,capacity,combined_venue,combined_address,combined_city,combined_venueid,combined_country
6245867,Cayucas,72358,Cayucas,63.0,OR,,,,,,,,,Polaris Hall,635 North Killingsworth Court,Portland,431557.0,US
6202840,Emo Night Brooklyn (21+),340962,Emo Night,42.0,IL,,,,,,,60654,1300.0,House of Blues Chicago,329 N Dearborn St,Chicago,515.0,US
6270770,Kompany (18+),698979,Kompany,42.0,TX,,,,,,,,,Stereo Live Houston,6400 Richmond Avenue,Houston,5765.0,US
5870082,Garth Brooks,2387,Garth Brooks,924.0,NV,2387.0,Garth Brooks,band,2000000.0,450.0,Country,,,The Colosseum At Caesars Palace,3570 Las Vegas Blvd South,Las Vegas,591.0,US
6218678,Patterson Hood (21+),16745,Patterson Hood,62.0,CA,,,,,,,,,Felton Music Hall,6275 California 9,Felton,471731.0,US
6285905,DJ Quik,621,DJ Quik,82.0,CA,,,,,,,90015,2300.0,The Novo,800 W Olympic Blvd,Los Angeles,590.0,US
6008330,Carrie Underwood,412,Carrie Underwood,444.0,NV,412.0,Carrie Underwood,band,2000000.0,450.0,Country,,,The Theatre at Resorts World Las Vegas,3000 S Las Vegas Blvd,Las Vegas,518959.0,US
6296659,Twisted Gypsy - Tribute to Fleetwood Mac (21+ Event),657104,Twisted Gypsy - Fleetwood Mac Tribute	,55.0,CA,,,,,,,,,Pala Casino Spa & Resort,11154 California 76,Pala,944.0,US
6309509,Jim Campilongo,720608,Jim Campilongo,76.0,CA,,,,,,,,,Freight & Salvage,2020 Addison Street,Berkeley,2239.0,US
6190781,Grieves,12134,Grieves,68.0,OR,,,,,,,,,McMenamins Mission Theater,1624 Northwest Glisan Street,Portland,3833.0,US
6092683,Lil Tjay,698868,Lil Tjay,163.0,CA,698868.0,Lil Tjay,band,2000000.0,493.0,Rap,,,The Midway,900 Marin Street,San Francisco,78766.0,US
6147481,The Lemon Twigs,364196,The Lemon Twigs,57.0,CA,364196.0,The Lemon Twigs,band,2000000.0,457.0,Alternative,,,The Glass House,200 W. Second St,Pomona,720.0,US
6124147,Linda Eder,1113,Linda Eder,168.0,CA,,,,,,,,,Irvine Barclay Theatre,4242 Campus Drive,Irvine,1726.0,US
6285529,Vandelux (21+),803533,Vandelux,68.0,WA,,,,,,,98122,578.0,Neumos,925 East Pike Street,Seattle,657.0,US
6202586,Jimkata (18+),17647,Jimkata,57.0,CO,,,,,,,,,Ophelia's Electric Soapbox,1215 20th Street,Denver,80286.0,US
6172560,A Peter White Christmas with Mindi Abair (21+),257762,A Peter White Christmas,106.0,NV,,,,,,,,,Aliante Casino,7300 Aliante Parkway,North Las Vegas,732.0,US
6287496,Zepparella,5232,Zepparella (Female Led Zeppelin Tribute)	,73.0,CA,,,,,,,,,Tower Theatre,815 East Olive Avenue,Fresno,8017.0,US
6118565,Berner's Cookies Christmas,778763,Berner Cookies Christmas,197.0,CA,778763.0,Berner Cookies Christmas,band,2000000.0,,,94102,2250.0,The Warfield,982 Market Street,San Francisco,524.0,US
6113519,Paul Cauthen,305734,Paul Cauthen,114.0,WA,305734.0,Paul Cauthen,band,2000000.0,450.0,Country,99201,1500.0,Knitting Factory Spokane,919 West Sprague Avenue,Spokane,755.0,US
6052827,Parker McCollum,340818,Parker McCollum,198.0,NV,340818.0,Parker McCollum,band,2000000.0,450.0,Country,89109,3200.0,The Cosmopolitan of Las Vegas,3708 South Las Vegas Boulevard,Las Vegas,3846.0,US
6174417,Chris Isaak,457,Chris Isaak,134.0,NV,,,,,,,,,Grand Sierra Theatre - Grand Sierra Resort,2500 East Second Street,Reno,423.0,US
6174169,Ginger Root,697873,Ginger Root,99.0,WA,,,,,,,98105,479.0,Neptune Theatre - WA,1303 Northeast 45th Street,Seattle,5805.0,US
6232048,CRi - Christophe Dube (21+),523251,CRi - Christophe Dube,52.0,AZ,,,,,,,,,Darkstar,526 South Mill Avenue,Tempe,521640.0,US
6271900,MUST DIE! (18+),265687,MUST DIE!,53.0,CO,,,,,,,80524,500.0,Aggie Theatre,204 South College Avenue,Fort Collins,3677.0,US
6299303,Disco Tehran,719762,Disco Tehran,89.0,CA,,,,,,,90017,600.0,Teragram Ballroom,1234 West 7th Street,Los Angeles,78478.0,US
6140300,The Manhattan Transfer,1182,The Manhattan Transfer,214.0,CA,,,,,,,90012,2265.0,Walt Disney Concert Hall,111 South Grand Avenue,Los Angeles,1274.0,US
6249604,Peso Pluma Night (18+),803433,Peso Pluma Night,54.0,CA,,,,,,,94704,1200.0,Cornerstone,2367 Shattuck Ave,Berkeley,233232.0,US
6019796,U2,31,U2,729.0,NV,31.0,U2,band,2000000.0,472.0,Classic Rock,,,MSG Sphere,255 Sands Avenue,Las Vegas,521212.0,US
6267537,Phil Lesh & Friends,1434,Phil Lesh & Friends,297.0,CA,,,,,,,,,The Fillmore - San Francisco,1805 Geary Boulevard,San Francisco,324.0,US
6231870,Level Up (16+),736933,Level Up,84.0,CO,,,,,,,,,Ogden Theatre,935 East Colfax Avenue,Denver,849.0,US
6270173,Kasablanca (18+),800688,Kasablanca,62.0,TX,,,,,,,,,Proof Rooftop Lounge,2600 Travis Street,Houston,77737.0,US
6128649,veggi (18+),805744,veggi,114.0,CA,,,,,,,90026,500.0,Echoplex,1154 Glendale Boulevard,Los Angeles,1014.0,US
6186650,Yaima (21+),740821,Yaima,47.0,WA,,,,,,,,,Nectar Lounge,412 North 36th Street,Seattle,3530.0,US
6255166,DirtySnatcha (18+),778578,DirtySnatcha,98.0,CA,,,,,,,95928,1000.0,Senator Theatre,517 Main Street,Chico,795.0,US
6127530,Tower of Power,1930,Tower of Power,156.0,CA,,,,,,,94612,3800.0,Fox Theater - Oakland,1807 Telegraph Avenue,Oakland,454.0,US
6288608,The Lil Smokies (16+),279315,The Lil Smokies,85.0,CO,,,,,,,80206,400.0,Bluebird Theater,3317 E Colfax Ave,Denver,555.0,US
6230865,The Funk Hunters (18+),36163,The Funk Hunters,70.0,AB,,,,,,,,,Union Hall,6240 99 Street Northwest,Edmonton,2625.0,Canada
6204117,Flatland Cavalry,383263,Flatland Cavalry,142.0,TX,383263.0,Flatland Cavalry,band,2000000.0,450.0,Country,76164,6000.0,Billy Bob's Texas,2520 Rodeo Plaza,Fort Worth,305.0,US
6190621,Grateful Shred,627659,Grateful Shred,87.0,CA,,,,,,,92104,550.0,The Observatory North Park,2891 University Avenue,San Diego,7974.0,US
6197145,Bea Miller,309969,Bea Miller,34.0,CA,,,,,,,90036,771.0,El Rey Theatre,5515 Wilshire Boulevard,Los Angeles,959.0,US
6035756,Lainey Wilson,703721,Lainey Wilson,236.0,NV,703721.0,Lainey Wilson,band,2000000.0,450.0,Country,,,The Theater at Virgin Hotels,4455 Paradise Road,Las Vegas,161.0,US
6168602,LeAnn Rimes,16156,LeAnn Rimes,176.0,NV,,,,,,,,,Venetian Theatre at the Venetian Resort,3355 South Las Vegas Boulevard,Las Vegas,4358.0,US
6199503,Ambrosia (18+),8977,Ambrosia,72.0,CA,,,,,,,,,The Canyon - Agoura Hills,28912 Roadside Drive,Agoura Hills,7646.0,US
6285441,Bell Witch (21+),64813,Bell Witch,70.0,OR,,,,,,,,,Star Theater - Portland,13 NW Sixth Avenue,Portland,6524.0,US
6285030,James Blake,7999,James Blake,101.0,CA,,,,,,,,,The Bellwether,333 S. Boylston St.,Los Angeles,521352.0,US
6276712,The Highwayman Show (21+),774827,The Highwayman Show,66.0,CA,,,,,,,92075,1000.0,Belly Up Tavern,143 South Cedros Avenue,Solana Beach,1188.0,US
6183671,Banda Los Sebastianes,674522,Banda Los Sebastianes,131.0,CA,674522.0,Banda Los Sebastianes,band,2000000.0,504.0,Latin,92230,2557.0,Morongo Casino Resort and Spa,49500 Seminole Drive,Cabazon,854.0,US
6275971,TroyBoi (21+),313775,TroyBoi,197.0,OR,,,,,,,,,The North Warehouse,723 North Tillamook Street,Portland,30663.0,US
6282231,Feels So Close (18+),802536,Feels So Close,63.0,CA,,,,,,,,,House of Blues - San Diego,1055 Fifth Avenue,San Diego,554.0,US
6236876,Koe Wetzel with Red Shahan,571455,Koe Wetzel,192.0,NV,571455.0,Koe Wetzel,band,2000000.0,450.0,Country,89109,2000.0,Brooklyn Bowl Las Vegas,3545 South Las Vegas Boulevard,Las Vegas,58672.0,US
6299371,The Nth Power (21+),261894,The Nth Power,56.0,CA,,,,,,,,,Moe's Alley,1535 Commercial Way,Santa Cruz,11528.0,US
5942028,Opium,142276,Opium,5887.0,NV,,,,,,,,,Opium Theatre at the Cosmopolitan of Las Vegas,3660 North Las Vegas Boulevard,Las Vegas,479961.0,US
