Date,City,Country,Venue,Opening acts,Attendance,Revenue
30 October 2017,Cardiff,Wales,Motorpoint Arena Cardiff,Lina Makhul Jessarae,"9,301 / 9,301","$535,059[12]"
31 October 2017,Cardiff,Wales,Motorpoint Arena Cardiff,Lina Makhul Jessarae,"9,301 / 9,301","$535,059[12]"
1 November 2017,Liverpool,England,Echo Arena,Lina Makhul Jessarae,[g],[g]
3 November 2017[h],Newcastle,England,Metro Radio Arena,Aleem,[i],[i]
4 November 2017[j],Newcastle,England,Metro Radio Arena,Aleem,[i],[i]
6 November 2017,Dublin,Ireland,3Arena,Aleem,"12,459 / 12,459","$697,796[12]"
7 November 2017[k],Belfast,Northern Ireland,The SSE Arena,Aleem,"17,168 / 17,168","$993,124[12]"
8 November 2017,Belfast,Northern Ireland,The SSE Arena,Aleem,"17,168 / 17,168","$993,124[12]"
10 November 2017[l],Glasgow,Scotland,SSE Hydro,Aleem,[m],[m]
11 November 2017[n],Glasgow,Scotland,SSE Hydro,Aleem,[m],[m]
13 November 2017,Leeds,England,First Direct Arena,Aleem,[o],[o]
14 November 2017,Nottingham,England,Motorpoint Arena Nottingham,Aleem,"15,705 / 15,705","$859,055[12]"
15 November 2017,Nottingham,England,Motorpoint Arena Nottingham,Aleem,"15,705 / 15,705","$859,055[12]"
17 November 2017,Birmingham,England,Genting Arena,Aleem,[p],[p]
18 November 2017[q],Birmingham,England,Genting Arena,Aleem,[p],[p]
20 November 2017,Liverpool,England,Echo Arena,Aleem,[r],[r]
21 November 2017,Manchester,England,Manchester Arena,Lloyd Macey Aleem,[s],[s]
22 November 2017,Manchester,England,Manchester Arena,Aleem,[s],[s]
25 November 2017[t][u],London,England,The O2 Arena,Aleem,[v],[v]
26 November 2017,London,England,The O2 Arena,Aleem,[v],[v]
Asia — Glory Days Tour,Asia — Glory Days Tour,Asia — Glory Days Tour,Asia — Glory Days Tour,Asia — Glory Days Tour,Asia — Glory Days Tour,Asia — Glory Days Tour
24 March 2018,Chiba,Japan,Makuhari Messe,—,,
25 March 2018,Kobe,Japan,World Memorial Hall,—,,
Total,Total,Total,Total,Total,"810,810[1]","$42,000,000[1]"
