event_name,date,artist_name,average_price,tickets_sold,tickets_available,revenue,capacity,venue_name,venue_city,venue_country
Plus tour,2014-11-03,Ed Sheeran,43.425592652351995,16114,16300,699760,16300,Ziggo Dome,Amsterdam,Netherlands
Plus tour,2014-11-04,Ed Sheeran,36.44815083393764,8274,8400,301572,8400,Forest National,Brussels,Belgium
Plus tour,2014-11-05,Ed Sheeran,35.1834179357022,11820,12164,415868,12164,ISS Dome,Düsseldorf,Germany
Plus tour,2014-11-06,Ed Sheeran,35.183399476484,11843,11843,416677,11843,O2 World Hamburg,Hamburg,Germany
Plus tour,2014-11-12,Ed Sheeran,43.33614406174075,13994,13994,606446,13994,Ericsson Globe,Stockholm,Sweden
Plus tour,2014-11-14,Ed Sheeran,35.23525476641766,8969,8969,316025,8969,Max-Schmeling-Halle,Berlin,Germany
Plus tour,2014-11-15,Ed Sheeran,36.40792614992838,6283,6283,228751,6283,Porsche-Arena,Stuttgart,Germany
Plus tour,2014-11-17,Ed Sheeran,39.94116186693148,12084,12084,482649,12084,Olympiahalle,Munich,Germany
Plus tour,2014-11-18,Ed Sheeran,35.18340574154528,11739,11742,413018,11742,Festhalle Frankfurt,Frankfurt,Germany
Plus tour,2015-01-26,Ed Sheeran,38.853180162510505,7138,7138,277334,7138,PalaLottomatica,Rome,Italy
Plus tour,2015-01-27,Ed Sheeran,43.709779179810724,10144,10144,443392,10144,Mediolanum Forum,Milan,Italy
Plus tour,2015-01-28,Ed Sheeran,62.59815384615385,13000,13000,813776,13000,Hallenstadion,Zürich,Switzerland
Plus tour,2015-01-30,Ed Sheeran,33.99646482958666,11032,12470,375049,12470,Galaxie Amnéville,Amnéville,France
Plus tour,2015-02-01,Ed Sheeran,31.578955359854238,6586,7570,207979,7570,Zénith d'Auvergne,Cournon-d'Auvergne,France
Plus tour,2015-02-02,Ed Sheeran,36.090235468466986,6073,6073,219176,6073,Zénith Paris,Paris,France
Plus tour,2015-02-03,Ed Sheeran,31.5789857716162,8223,8470,259674,8470,Zénith de Nantes,Nantes,France
Plus tour,2015-02-27,Ed Sheeran,60.0,3000,3000,180000,3000,Shangri-La's Barr Al Jissah Resort and Spa,Muscat,Oman
Plus tour,2015-03-01,Ed Sheeran,39.92,7700,8000,307384,8000,Mahalaxmi Racecourse,Mumbai,India
Plus tour,2015-03-03,Ed Sheeran,59.935,6000,6000,359610,6000,Qatar National Convention Centre,Doha,Qatar
Plus tour,2015-03-05,Ed Sheeran,89.149,10000,10000,891490,10000,Dubai Media City,Dubai,United Arab Emirates
Plus tour,2015-03-07,Ed Sheeran,86.50642458100559,7160,7160,619386,7160,Mercedes-Benz Arena,Shanghai,China
Plus tour,2015-03-08,Ed Sheeran,123.63683252427184,3296,3977,407507,3977,SK Olympic Handball Gymnasium,Seoul,South Korea
Plus tour,2015-03-10,Ed Sheeran,87.67238530944212,7869,7869,689894,7869,AsiaWorld–Expo,Hong Kong,Hong Kong
Plus tour,2015-03-12,Ed Sheeran,94.38720215219062,10408,10408,982382,10408,Mall of Asia Arena,Manila,Philippines
Plus tour,2015-03-14,Ed Sheeran,95.83871614844534,4985,4985,477756,4985,Star Performing Arts Centre,Singapore,Singapore
Plus tour,2015-03-16,Ed Sheeran,82.14976565828718,4694,4699,385611,4699,Plenary Hall,Kuala Lumpur,Malaysia
Plus tour,2015-03-20,Ed Sheeran,64.76990833572043,27928,27928,1808894,27928,Riverstage,Brisbane,Australia
Plus tour,2015-03-21,Ed Sheeran,64.76990833572043,27928,27928,1808894,27928,Riverstage,Brisbane,Australia
Plus tour,2015-03-22,Ed Sheeran,64.76990833572043,27928,27928,1808894,27928,Riverstage,Brisbane,Australia
Plus tour,2015-03-24,Ed Sheeran,68.82774661376385,36545,36545,2515310,36545,Qantas Credit Union Arena,Sydney,Australia
