event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
My World Tour,2010-09-19,Justin Bieber,,20.19172552976791,13874,13874,280140,"canadian pop, pop",13874,Rexall Place,Edmonton,Alberta,Canada
My World Tour,2010-09-20,Justin Bieber,,36.57676527747787,13893,13893,508161,"canadian pop, pop",13893,Pengrowth Saddledome,Calgary,Alberta,Canada
My World Tour,2010-10-08,Justin Bieber,,54.24648559251956,15721,15721,852809,"canadian pop, pop",15721,Blaisdell Arena,Honolulu,Hawaii,United States
My World Tour,2010-10-09,Justin Bieber,,54.24648559251956,15721,15721,852809,"canadian pop, pop",15721,Blaisdell Arena,Honolulu,Hawaii,United States
My World Tour,2010-10-19,Justin Bieber,,18.07403181421572,14899,14899,269285,"canadian pop, pop",14899,Rogers Arena,Vancouver,British Columbia,Canada
My World Tour,2010-10-22,Justin Bieber,,30.034954727311014,9498,13498,285272,"canadian pop, pop",13498,ARCO Arena,Sacramento,California,United States
My World Tour,2010-10-24,Justin Bieber,,22.78743220938458,8482,8482,193283,"canadian pop, pop",8482,Citizens Business Bank Arena,Ontario,California,United States
My World Tour,2010-10-25,Justin Bieber,,39.45711759504863,13572,13572,535512,"canadian pop, pop",13572,Staples Center,Los Angeles,California,United States
My World Tour,2010-10-27,Justin Bieber,,41.30457835381249,11882,11882,490781,"canadian pop, pop",11882,Honda Center,Anaheim,California,United States
My World Tour,2010-10-28,Justin Bieber,,33.936923739767344,11605,12411,393838,"canadian pop, pop",12411,HP Pavilion,San Jose,California,United States
My World Tour,2010-10-30,Justin Bieber,,23.415091036414566,11424,11424,267494,"canadian pop, pop",11424,Valley View Casino Center,San Diego,California,United States
My World Tour,2010-11-03,Justin Bieber,,23.466245086310032,11702,12316,274602,"canadian pop, pop",12316,Oklahoma City Arena,Oklahoma City,Oklahoma,United States
My World Tour,2010-11-05,Justin Bieber,,21.693923480870218,14663,14663,318098,"canadian pop, pop",14663,AT&T Center,San Antonio,Texas,United States
My World Tour,2010-11-06,Justin Bieber,,34.98217495506291,13352,13352,467082,"canadian pop, pop",13352,Toyota Center,Houston,Texas,United States
My World Tour,2010-11-08,Justin Bieber,,14.366387948310415,14471,14471,207896,"canadian pop, pop",14471,Scottrade Center,St. Louis,Missouri,United States
My World Tour,2010-11-10,Justin Bieber,,23.498588722323277,15943,15943,374638,"canadian pop, pop",15943,KFC Yum! Center,Louisville,Kentucky,United States
My World Tour,2010-11-11,Justin Bieber,,21.979292493528906,10431,10616,229266,"canadian pop, pop",10616,Wolstein Center,Cleveland,Ohio,United States
My World Tour,2010-11-13,Justin Bieber,,28.385311221193195,9286,9286,263586,"canadian pop, pop",9286,Norfolk Scope,Norfolk,Virginia,United States
My World Tour,2010-11-14,Justin Bieber,,39.27609837325477,15614,15614,613257,"canadian pop, pop",15614,Wells Fargo Center,Philadelphia,Pennsylvania,United States
My World Tour,2010-11-16,Justin Bieber,,38.578125,14080,14080,543180,"canadian pop, pop",14080,TD Garden,Boston,Massachusetts,United States
My World Tour,2010-11-17,Justin Bieber,,40.10625838721484,16394,16394,657502,"canadian pop, pop",16394,Izod Center,East Rutherford,New Jersey,United States
My World Tour,2010-11-20,Justin Bieber,,37.373414435130925,13481,13481,503831,"canadian pop, pop",13481,Boardwalk Hall,Atlantic City,New Jersey,United States
My World Tour,2010-11-22,Justin Bieber,,25.37392373923739,16260,16260,412580,"canadian pop, pop",16260,Bell Centre,Montreal,Quebec,Canada
My World Tour,2010-11-23,Justin Bieber,,22.68357473405854,16639,16639,377432,"canadian pop, pop",16639,Air Canada Centre,Toronto,Ontario,Canada
My World Tour,2010-12-09,Justin Bieber,,46.48279569892473,9300,9300,432290,"canadian pop, pop",9300,Verizon Wireless Arena,Manchester,New Hampshire,United States
My World Tour,2010-12-13,Justin Bieber,,57.64619903990829,13957,13957,804568,"canadian pop, pop",13957,Consol Energy Center,Pittsburgh,Pennsylvania,United States
My World Tour,2010-12-15,Justin Bieber,,47.97767582003698,14603,14603,700618,"canadian pop, pop",14603,Greensboro Coliseum,Greensboro,North Carolina,United States
My World Tour,2010-12-16,Justin Bieber,,49.033392811623756,11769,11769,577074,"canadian pop, pop",11769,BI-LO Center,Greenville,South Carolina,United States
My World Tour,2010-12-18,Justin Bieber,,48.93851909366838,14167,14167,693312,"canadian pop, pop",14167,American Airlines Arena,Miami,Florida,United States
My World Tour,2010-12-19,Justin Bieber,,48.3041345480028,14270,14270,689300,"canadian pop, pop",14270,St. Pete Times Forum,Tampa,Florida,United States
My World Tour,2010-12-21,Justin Bieber,,48.473680389167214,13773,13773,667628,"canadian pop, pop",13773,BJCC Arena,Birmingham,Alabama,United States
My World Tour,2010-12-23,Justin Bieber,,58.66009255962976,14045,14045,823881,"canadian pop, pop",14045,Philips Arena,Atlanta,Georgia,United States
My World Tour,2011-03-14,Justin Bieber,,55.02615480649189,16020,16020,881519,"canadian pop, pop",16020,The O2 Arena,London,England,England
My World Tour,2011-03-30,Justin Bieber,,58.8479609929078,13536,13536,796566,"canadian pop, pop",13536,Sportpaleis,Antwerp,Flanders,Belgium
My World Tour,2011-04-26,Justin Bieber,,58.90194306371441,11065,11065,651750,"canadian pop, pop",11065,Brisbane Entertainment Centre,Brisbane,Queensland,Australia
My World Tour,2011-04-28,Justin Bieber,,23.488348427800958,29481,29481,692460,"canadian pop, pop",29481,Acer Arena,Sydney,New South Wales,Australia
My World Tour,2011-04-29,Justin Bieber,,23.488348427800958,29481,29481,692460,"canadian pop, pop",29481,Acer Arena,Sydney,New South Wales,Australia
My World Tour,2011-05-02,Justin Bieber,,31.614065314433393,25538,25538,807360,"canadian pop, pop",25538,Rod Laver Arena,Melbourne,Victoria,Australia
My World Tour,2011-05-03,Justin Bieber,,31.614065314433393,25538,25538,807360,"canadian pop, pop",25538,Rod Laver Arena,Melbourne,Victoria,Australia
My World Tour,2011-05-05,Justin Bieber,,107.5096357226792,8510,8510,914907,"canadian pop, pop",8510,Adelaide Entertainment Arena,Adelaide,South Australia,Australia
