event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
Believe Tour,2012-10-11,Justin Bieber,"Cody Simpson, Jaden Smith",80.17624069021458,13561,13561,1087270,"canadian pop, pop",13561,TD Garden,Boston,Massachusetts,United States
Believe Tour,2012-12-11,Justin Bieber,"Cody Simpson, Jaden Smith",77.65163733258537,14261,14261,1107390,"canadian pop, pop",14261,Barclays Center,New York City,New York,United States
Believe Tour,2012-11-21,Justin Bieber,Carly Rae Jepsen,76.18178292068006,15469,15469,1178456,"canadian pop, pop",15469,The Palace of Auburn Hills,Auburn Hills,Michigan,United States
Believe Tour,2012-11-23,Justin Bieber,"Carly Rae Jepsen, The Wanted",80.64763434579439,13696,13696,1104550,"canadian pop, pop",13696,Scotiabank Place,Ottawa,Ontario,Canada
Believe Tour,2012-11-26,Justin Bieber,"Carly Rae Jepsen, The Wanted",79.10270951480781,15870,15870,1255360,"canadian pop, pop",15870,Bell Centre,Montreal,Quebec,Canada
Believe Tour,2012-11-28,Justin Bieber,"Carly Rae Jepsen, The Wanted",80.5322102425876,29680,29680,2390196,"canadian pop, pop",29680,Madison Square Garden,New York City,New York,United States
Believe Tour,2012-11-29,Justin Bieber,"Carly Rae Jepsen, The Wanted",80.5322102425876,29680,29680,2390196,"canadian pop, pop",29680,Madison Square Garden,New York City,New York,United States
Believe Tour,2012-01-12,Justin Bieber,"Carly Rae Jepsen, The Wanted",60.969943172741175,43817,43817,2671520,"canadian pop, pop",43817,Rogers Centre,Toronto,Ontario,Canada
Believe Tour,2013-05-01,Justin Bieber,Carly Rae Jepsen,68.57544408902199,14693,14693,1007579,"canadian pop, pop",14693,EnergySolutions Arena,Salt Lake City,Utah,United States
Believe Tour,2013-07-01,Justin Bieber,Carly Rae Jepsen,74.48484848484848,13629,13629,1015154,"canadian pop, pop",13629,Pepsi Center,Denver,Colorado,United States
Believe Tour,2013-09-01,Justin Bieber,Carly Rae Jepsen,68.39437812860993,12985,12985,888101,"canadian pop, pop",12985,BOK Center,Tulsa,Oklahoma,United States
Believe Tour,2013-10-01,Justin Bieber,Carly Rae Jepsen,65.62408242979325,14849,14849,974452,"canadian pop, pop",14849,Verizon Arena,North Little Rock,,United States
Believe Tour,2013-12-01,Justin Bieber,Carly Rae Jepsen,67.23217088650789,14653,14653,985153,"canadian pop, pop",14653,ATT Center,San Antonio,Texas,United States
Believe Tour,2013-01-15,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",71.68740168740169,13986,13986,1002620,"canadian pop, pop",13986,New Orleans Arena,New Orleans,Louisiana,United States
Believe Tour,2013-01-16,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",68.00280857354028,13530,13530,920078,"canadian pop, pop",13530,Legacy Arena,Birmingham,England,United States
Believe Tour,2013-01-18,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",73.27549520543151,14287,14287,1046887,"canadian pop, pop",14287,Bridgestone Arena,Nashville,Tennessee,United States
Believe Tour,2013-01-19,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",64.83442676193569,15395,15395,998126,"canadian pop, pop",15395,Greensboro Coliseum,Greensboro,North Carolina,United States
Believe Tour,2013-01-22,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",71.34632006286013,15272,15272,1089601,"canadian pop, pop",15272,Time Warner Cable Arena,Charlotte,North Carolina,United States
Believe Tour,2013-01-23,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",78.44371748384046,12686,12686,995137,"canadian pop, pop",12686,Philips Arena,Atlanta,Georgia,United States
Believe Tour,2013-01-25,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",75.62134032197679,13355,13355,1009923,"canadian pop, pop",13355,Amway Center,Orlando,Florida,United States
Believe Tour,2013-01-26,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",79.00036258158086,27580,27580,2178830,"canadian pop, pop",27580,American Airlines Arena,Miami,Florida,United States
Believe Tour,2013-01-27,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",79.00036258158086,27580,27580,2178830,"canadian pop, pop",27580,American Airlines Arena,Miami,Florida,United States
Believe Tour,2013-02-21,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",83.63693423530232,28678,28678,2398540,"canadian pop, pop",28678,Manchester Arena,Manchester,England,England
Believe Tour,2013-02-22,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",83.63693423530232,28678,28678,2398540,"canadian pop, pop",28678,Manchester Arena,Manchester,England,England
Believe Tour,2013-02-27,Justin Bieber,Cody Simpson,93.3047189485426,20619,21690,1923850,"canadian pop, pop",21690,National Indoor Arena,Birmingham,England,England
Believe Tour,2013-02-28,Justin Bieber,Cody Simpson,93.3047189485426,20619,21690,1923850,"canadian pop, pop",21690,National Indoor Arena,Birmingham,England,England
Believe Tour,2013-04-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479,60281,5053170,"canadian pop, pop",60281,The O2 Arena,London,England,England
Believe Tour,2013-05-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479,60281,5053170,"canadian pop, pop",60281,The O2 Arena,London,England,England
Believe Tour,2013-07-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479,60281,5053170,"canadian pop, pop",60281,The O2 Arena,London,England,England
Believe Tour,2013-08-03,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",86.40999333093932,58479,60281,5053170,"canadian pop, pop",60281,The O2 Arena,London,England,England
Believe Tour,2013-03-22,Justin Bieber,"Carly Rae Jepsen, Cody Simpson",104.96153846153847,13000,13000,1364500,"canadian pop, pop",13000,Hallenstadion,Zürich,Zürich,Switzerland
Believe Tour,2013-03-31,Justin Bieber,Neon Dogs,85.55482849604222,9475,13289,810632,"canadian pop, pop",13289,O2 World Berlin,Berlin,Berlin,Germany
Believe Tour,2013-02-04,Justin Bieber,Neon Dogs,94.70686657974794,9204,12984,871682,"canadian pop, pop",12984,O2 World Hamburg,Hamburg,Hamburg,Germany
Believe Tour,2013-10-04,Justin Bieber,3M8S,72.67768733741714,35751,36939,2598300,"canadian pop, pop",36939,Sportpaleis,Antwerp,Flanders,Belgium
Believe Tour,2013-11-04,Justin Bieber,3M8S,72.67768733741714,35751,36939,2598300,"canadian pop, pop",36939,Sportpaleis,Antwerp,Flanders,Belgium
Believe Tour,2013-06-22,Justin Bieber,"Hot Chelle Rae, Mike Posner",84.55059084194978,10832,10832,915852,"canadian pop, pop",10832,Valley View Casino Center,San Diego,California,United States
Believe Tour,2013-06-24,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.43073515753376,27994,27994,2307566,"canadian pop, pop",27994,Staples Center,Los Angeles,California,United States
Believe Tour,2013-06-25,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.43073515753376,27994,27994,2307566,"canadian pop, pop",27994,Staples Center,Los Angeles,California,United States
Believe Tour,2013-06-26,Justin Bieber,"Hot Chelle Rae, Mike Posner",83.26023391812865,12996,12996,1082050,"canadian pop, pop",12996,HP Pavilion,San Jose,California,United States
Believe Tour,2013-06-28,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.61435413860201,13362,13362,1103893,"canadian pop, pop",13362,MGM Grand Garden Arena,Las Vegas,Nevada,United States
Believe Tour,2013-06-30,Justin Bieber,"Hot Chelle Rae, Mike Posner",79.35219247186652,12885,12885,1022453,"canadian pop, pop",12885,Pepsi Center,Denver,Colorado,United States
Believe Tour,2013-02-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",79.75591776558277,12209,12209,973740,"canadian pop, pop",12209,Chesapeake Energy Arena,Oklahoma City,Oklahoma,United States
Believe Tour,2013-03-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",81.86124058802439,13945,13945,1141555,"canadian pop, pop",13945,American Airlines Center,Dallas,Texas,United States
Believe Tour,2013-06-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",77.29406761641505,14109,14109,1090542,"canadian pop, pop",14109,CenturyLink Center,Omaha,Nebraska,United States
Believe Tour,2013-07-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",79.36595971925541,13108,13108,1040329,"canadian pop, pop",13108,Wells Fargo Arena,Des Moines,Iowa,United States
Believe Tour,2013-09-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.24379031151365,14574,14574,1198621,"canadian pop, pop",14574,United Center,Chicago,Illinois,United States
Believe Tour,2013-10-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",77.46486371379898,14088,14088,1091325,"canadian pop, pop",14088,Bankers Life Fieldhouse,Indianapolis,Indiana,United States
Believe Tour,2013-12-07,Justin Bieber,"Hot Chelle Rae, Mike Posner",78.67047564633624,14002,14002,1101544,"canadian pop, pop",14002,Nationwide Arena,Columbus,Ohio,United States
Believe Tour,2013-07-13,Justin Bieber,"Hot Chelle Rae, Mike Posner",76.13073455316892,15084,15084,1148356,"canadian pop, pop",15084,Quicken Loans Arena,Cleveland,Ohio,United States
Believe Tour,2013-07-15,Justin Bieber,"Hot Chelle Rae, Mike Posner",77.62681722902157,14789,14789,1148023,"canadian pop, pop",14789,First Niagara Center,Buffalo,New York,United States
Believe Tour,2013-07-17,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.50972452704946,15065,15065,1243009,"canadian pop, pop",15065,Wells Fargo Center,Philadelphia,Pennsylvania,United States
Believe Tour,2013-07-18,Justin Bieber,"Hot Chelle Rae, Mike Posner",83.25024185746534,12404,12404,1032636,"canadian pop, pop",12404,XL Center,Hartford,Connecticut,United States
Believe Tour,2013-07-20,Justin Bieber,"Hot Chelle Rae, Mike Posner",83.55940520446097,13450,13450,1123874,"canadian pop, pop",13450,TD Garden,Boston,Massachusetts,United States
