Event_Name,Date,Artist_name,support_act,average_price,Tickets_sold,Tickets_Available,Revenue,Capacity,Venue_name,Venue_city,Venue_country
The Honeymoon Tour,2015-06-13,Ariana Grande,DJ Dubz,,0.0,20000,0.0,20000,Lanxess Arena,Cologne,Germany
The Honeymoon Tour,2015-06-16,Ariana Grande,Paula Rojo,63.83608195902049,14007.0,14014,894152.0,14014,Palau Sant Jordi,Barcelona,Spain
The Honeymoon Tour,North America394041,Ariana Grande,North America394041,,0.0,,0.0,,North America394041,North America394041,North America394041
The Honeymoon Tour,2015-06-28Ariana Grande,,,0.0,,0.0,,Pier 26,New York City,United States
The Honeymoon Tour,2015-07-16,Ariana Grande,Prince Royce,42.45370113667868,7214.0,7214,306261.0,7214,Amalie Arena,Tampa,United States
The Honeymoon Tour,July 18,Ariana Grande,Prince Royce,,0.0,20000,0.0,20000,BBT Center,Sunrise,United States
The Honeymoon Tour,July 21,Ariana Grande,Prince Royce,,0.0,17500,0.0,17500,Time Warner Cable Arena,Charlotte,United States
The Honeymoon Tour,July 23,Ariana Grande,Prince Royce,,0.0,22090,0.0,22090,KFC Yum Center,Louisville,United States
The Honeymoon Tour,July 25,Ariana Grande,Prince Royce,49.77154714795869,10361.0,10361,515683.0,10361,Verizon Center,Washington DC,United States
The Honeymoon Tour,July 26,Ariana Grande,Prince Royce,,0.0,16841,0.0,16841,Hersheypark Stadium,Hershey,United States
The Honeymoon Tour,July 29,Ariana Grande,Prince Royce,,0.0,21000,0.0,21000,Wells Fargo Center,Philadelphia,United States
The Honeymoon Tour,July 31,Ariana Grande,Prince Royce,,0.0,17500,0.0,17500,Times Union Center,Albany,United States
The Honeymoon Tour,August 2,Ariana Grande,Prince Royce,66.01570607207965,7131.0,7131,470758.0,7131,Mohegan Sun Arena,Uncasville,United States
The Honeymoon Tour,August 4,Ariana Grande,Prince Royce,,0.0,11770,0.0,11770,Verizon Wireless Arena,Manchester,United States
The Honeymoon Tour,August 6,Ariana Grande,Prince Royce,47.667995822652614,10533.0,10533,502087.0,10533,Bell Centre,Montreal,Canada
The Honeymoon Tour,August 7,Ariana Grande,Prince Royce,,0.0,18652,0.0,18652,Canadian Tire Centre,Ottawa,Canada
The Honeymoon Tour,August 9,Ariana Grande,Prince Royce,42.366345884331494,10703.0,10703,453447.0,10703,Air Canada Centre,Toronto,Canada
The Honeymoon Tour,Asia43,Ariana Grande,Asia43,,0.0,,0.0,,Asia43,Asia43,Asia43
The Honeymoon Tour,August 15 d,Ariana Grande,,,0.0,30118,0.0,30118,Chiba Marine Stadium,Chiba,Japan
The Honeymoon Tour,August 16 d,Ariana Grande,,,0.0,7000,0.0,7000,Maishima Sports Island,Osaka,Japan
The Honeymoon Tour,August 19,Ariana Grande,,,0.0,5000,0.0,5000,Tokyo International Forum,Tokyo,Japan
The Honeymoon Tour,August 23,Ariana Grande,,,0.0,20000,0.0,20000,Mall of Asia Arena,Manila,Philippines
The Honeymoon Tour,August 26,Ariana Grande,,,0.0,82000,0.0,82000,Jakarta International Expo,Jakarta,Indonesia
The Honeymoon Tour,North America,Ariana Grande,North America,,0.0,,0.0,,North America,North America,North America
The Honeymoon Tour,August 29,Ariana Grande,Prince Royce,,0.0,12000,0.0,12000,Mandalay Bay Events Center,Las Vegas,United States
The Honeymoon Tour,August 31,Ariana Grande,Prince Royce,38.866853408029876,10710.0,10710,416264.0,10710,Save Mart Center,Fresno,United States
The Honeymoon Tour,September 2,Ariana Grande,Prince Royce,,0.0,12644,0.0,12644,Taco Bell Arena,Boise,United States
The Honeymoon Tour,September 4,Ariana Grande,Prince Royce,,0.0,20500,0.0,20500,Moda Center,Portland,United States
The Honeymoon Tour,September 8,Ariana Grande,Prince Royce,,0.0,22000,0.0,22000,Shoreline Amphitheatre,Mountain View,United States
The Honeymoon Tour,September 9,Ariana Grande,Prince Royce,,0.0,20500,0.0,20500,Sleep Train Amphitheatre,Chula Vista,United States
The Honeymoon Tour,September 10e,Ariana Grande,Prince Royce,,0.0,17317,0.0,17317,Sleep Train Arena,Sacramento,United States
The Honeymoon Tour,September 11,Ariana Grande,Prince Royce,47.52295380138232,13745.0,13745,653203.0,13745,Staples Center,Los Angeles,United States
The Honeymoon Tour,September 18,Ariana Grande,Prince Royce Who Is Fancy,55.08830501777953,10124.0,10124,557714.0,10124,Toyota Center,Houston,United States
The Honeymoon Tour,September 20,Ariana Grande,Prince Royce Who Is Fancy,,0.0,19000,0.0,19000,Legacy Arena,Birmingham,United States
The Honeymoon Tour,September 22,Ariana Grande,Prince Royce Who Is Fancy,37.837787445618396,8045.0,8045,304405.0,8045,Bridgestone Arena,Nashville,United States
The Honeymoon Tour,September 24,Ariana Grande,Prince Royce Who Is Fancy,,0.0,20000,0.0,20000,PNC Arena,Raleigh,United States
The Honeymoon Tour,September 26,Ariana Grande,Prince Royce Who Is Fancy,52.41311018131102,21510.0,21510,1127406.0,21510,Barclays Center,Brooklyn,United States
The Honeymoon Tour,September 27,Ariana Grande,Prince Royce Who Is Fancy,52.41311018131102,21510.0,21510,1127406.0,21510,Barclays Center,Brooklyn,United States
The Honeymoon Tour,September 29,Ariana Grande,Prince Royce Who Is Fancy,47.78240859115316,7822.0,7822,373754.0,7822,Van Andel Arena,Grand Rapids,United States
The Honeymoon Tour,October 2,Ariana Grande,Prince Royce Who Is Fancy,,0.0,23500,0.0,23500,United Center,Chicago,United States
The Honeymoon Tour,October 4,Ariana Grande,Prince Royce Who Is Fancy,,0.0,22000,0.0,22000,Enterprise Center,St Louis,United States
The Honeymoon Tour,October 6,Ariana Grande,Prince Royce Who Is Fancy,34.098125689084895,10884.0,10884,371124.0,10884,Intrust Bank Arena,Wichita,United States
The Honeymoon Tour,October 7,Ariana Grande,Prince Royce Who Is Fancy,,0.0,19199,0.0,19199,BOK Center,Tulsa,United States
The Honeymoon Tour,October 9,Ariana Grande,Prince Royce Who Is Fancy,,0.0,17791,0.0,17791,Smoothie King Center,New Orleans,United States
The Honeymoon Tour,October 11,Ariana Grande,Prince Royce Who Is Fancy,39.08536206360717,9653.0,9653,377291.0,9653,American Airlines Center,Dallas,United States
The Honeymoon Tour,October 13,Ariana Grande,Prince Royce,40.67747914735867,8632.0,8632,351128.0,8632,Frank Erwin Center,Austin,United States
The Honeymoon Tour,October 15,Ariana Grande,Prince Royce,,0.0,11000,0.0,11000,El Paso County Coliseum,El Paso,United States
The Honeymoon Tour,Latin America,Ariana Grande,Latin America,,0.0,,0.0,,Latin America,Latin America,Latin America
The Honeymoon Tour,October 18,Ariana Grande,DJ Dubz,69.97954264121441,15349.0,15349,1074116.0,15349,Palacio de los Deportes,Mexico City,Mexico
The Honeymoon Tour,October 21,Ariana Grande,,,0.0,14000,0.0,14000,Movistar Arena,Santiago,Chile
The Honeymoon Tour,October 23,Ariana Grande,Olivia Viggiano,,0.0,50000,0.0,50000,Complejo al Río,Buenos Aires,Argentina
The Honeymoon Tour,October 25,Ariana Grande,,77.87627334465195,23560.0,23560,1834765.0,23560,Allianz Parque,São Paulo,Brazil
