Date,City,Country,Venue,Opening acts,Revenue,Tickets sold,Tickets available,Capacity
2017-08-10,Chiba,Japan,Makuhari Event Hall,Beverly,"$6,525,600",52035,59817,59817
2017-08-12,Chiba,Japan,Makuhari Event Hall,Little Glee Monster,"$6,525,600",52035,59817,59817
2017-08-13,Chiba,Japan,Makuhari Event Hall,Little Glee Monster,"$6,525,600",52035,59817,59817
2017-08-15,Seoul,South Korea,Gocheok Sky Dome,,"$1,876,580",19422,20008,20008
2017-08-17,Bangkok,Thailand,Impact Arena,,"$1,283,740",9308,9694,9694
2017-08-21,Manila,Philippines,Mall of Asia Arena,,"$1,199,770",9607,10400,10400
2017-08-26,Beijing,China,LeSports Center,,"$1,099,220",7997,8023,8023
2017-08-28,Shanghai,China,Mercedes-Benz Arena,,"$1,391,210",11225,11225,11225
2017-08-30,Guangzhou,China,Guangzhou Sports Arena,,"$1,247,490",10287,10792,10792
2017-09-02,Auckland,New Zealand,Spark Arena,,"$954,738",10606,11593,11593
2017-09-04,Melbourne,Australia,Rod Laver Arena,,"$2,420,480",23809,24694,24694
2017-09-05,Melbourne,Australia,Rod Laver Arena,,"$2,420,480",23809,24694,24694
2017-09-08,Sydney,Australia,ICC Sydney Theatre,,"$1,625,830",16505,16580,16580
2017-09-09,Sydney,Australia,ICC Sydney Theatre,,"$1,625,830",16505,16580,16580
2017-09-12,Brisbane,Australia,Brisbane Entertainment Centre,,"$1,038,680",10604,10604,10604
2017-09-19,Taipei,Taiwan,Taipei Arena,,"$1,375,330",11570,12673,12673
2017-09-21,Hong Kong,Hong Kong,AsiaWorld–Arena,,"$1,006,410",7740,8796,8796
